+----------------------------------------------------------------------------------------------------------------------------+
| key                                                 | types                        | occurrences | percents                |
| handrail                                            | String                       |           2 |   0.0010730707529200939 |
| healthcare                                          | String                       |           2 |   0.0010730707529200939 |
| inscription                                         | String                       |           2 |   0.0010730707529200939 |
| internet_access.fee                                 | String                       |           2 |   0.0010730707529200939 |
| internet_access.internet_access                     | String                       |           2 |   0.0010730707529200939 |
| landcover                                           | String                       |           2 |   0.0010730707529200939 |
| lcn                                                 | String                       |           2 |   0.0010730707529200939 |
| limit                                               | String                       |           2 |   0.0010730707529200939 |
| maxheight.lane                                      | Object                       |           2 |   0.0010730707529200939 |
| name_1                                              | String                       |           2 |   0.0010730707529200939 |
| parking.condition.1                                 | Object                       |           2 |   0.0010730707529200939 |
| parking.condition.1.left                            | Object                       |           2 |   0.0010730707529200939 |
| parking.condition.1.left.left                       | String                       |           2 |   0.0010730707529200939 |
| parking.condition.1.left.time_interval              | String                       |           2 |   0.0010730707529200939 |
